activity,Uppm,adjwt,basement,floor,pcterr,region,room,typebldg,wave,area,days,month
5.7,1.92957,447.6274,N,1,5.7,3,3,1,3,PETTIS              MO,0,03/1988
1.1,3.11518,363.43207,N,1,25.0,3,3,1,99,MARICOPA            AZ,2,06/1988
0.1,2.1283,710.8264,N,1,0.0,6,3,1,138,ERIE                PA,2,03/1989
1.1,1.76109,438.80835,Y,0,17.6,3,4,1,10,COLE                MO,2,03/1988
8.6,1.70553,192.26389,Y,0,4.4,4,2,1,38,CASS                ND,2,02/1988
1.5,1.69837,292.21954,Unknown,0,16.8,1,0,0,66,PORTER              IN,2,03/1988
5.8,1.62023,106.26117,N,1,4.9,4,3,1,2,GRAND FORKS         ND,2,03/1988
0.5,1.66622,789.0981,Y,0,0.0,4,2,2,68,ST LOUIS CITY       MO,0,02/1988
1.3,3.11518,363.43207,N,1,23.9,3,3,1,73,MARICOPA            AZ,5,03/1988
3.4,3.11518,363.43207,N,1,7.1,3,3,2,89,MARICOPA            AZ,0,06/1988
1.3,3.11518,364.80402,N,1,22.0,3,1,1,94,MARICOPA            AZ,4,06/1988
0.3,2.06501,1074.0137,Y,0,0.0,3,4,1,27,CLINTON             PA,2,03/1988
3.6,2.3585,2133.4246,Y,0,8.4,1,3,2,49,CHESTER             PA,0,11/1988
0.9,2.04101,649.2395,Y,0,31.5,8,4,1,91,NORFOLK             MA,2,04/1988
26.4,1.82237,2364.7627,Y,0,2.0,1,4,1,119,DELAWARE            PA,2,03/1989
1.3,2.39804,341.6855,Y,0,17.0,7,4,1,55,WAYNE               PA,2,11/1988
1.7,3.11518,364.9583,N,1,18.9,3,3,1,28,MARICOPA            AZ,0,12/1987
0.9,1.96648,183.07762,N,1,19.6,1,3,5,45,CASS                MO,2,01/1988
0.3,1.72359,443.8437,Y,1,0.0,3,1,1,33,OSAGE               MO,2,01/1988
13.7,2.00698,578.04297,Y,0,4.3,7,4,1,105,ESSEX               MA,0,04/1988
3.4,1.12399,481.44348,Y,0,6.5,1,4,1,25,ST JOSEPH           IN,1,12/1987
1.6,3.11518,378.24384,N,1,32.2,3,3,1,40,MARICOPA            AZ,2,12/1987
0.9,1.69837,288.8893,Y,0,25.8,1,5,1,102,PORTER              IN,2,02/1989
1.7,3.11518,363.43207,N,1,11.1,3,1,1,2,MARICOPA            AZ,2,04/1988
7.6,1.99276,48.849606,Y,0,4.5,1,4,1,76,BOWMAN              ND,4,02/1988
3.5,0.544319,7.4265,Y,0,8.7,2,4,1,-1,LEECH LAKE          MN,0,03/1988
4.9,2.49651,1065.3071,Y,0,8.3,2,4,1,75,YORK                PA,2,12/1988
7.0,1.16237,486.6377,Y,0,4.1,2,7,1,63,ELKHART             IN,2,03/1988
2.9,0.428565,485.43594,Y,0,9.0,3,4,1,40,ANOKA               MN,0,02/1988
1.8,2.34798,1020.33856,Unknown,0,13.7,3,0,1,35,RANDOLPH            IN,3,01/1988
1.4,1.99276,48.849606,Y,0,20.4,1,2,1,71,BOWMAN              ND,3,02/1988
1.2,1.35716,213.76418,Y,1,18.9,6,3,1,82,GRIGGS              ND,8,03/1988
0.9,0.421763,8.313953,N,1,31.9,1,1,1,-1,SAULT ST. MARIE     MI,2,03/1988
0.7,1.68632,884.216,Y,0,29.2,4,4,1,99,ST LOUIS            MO,7,04/1988
6.0,0.603508,2.99619,N,1,6.6,2,3,1,-1,GRAND PORTAGE       MN,2,02/1988
1.4,1.96705,596.0751,Y,0,20.5,4,7,1,69,HAMPDEN             MA,2,03/1988
2.1,0.907991,2116.5615,N,1,12.3,3,3,1,38,HENNEPIN            MN,7,03/1988
0.9,1.48424,109.027016,Y,0,25.0,4,4,1,35,BARNES              ND,0,03/1988
0.9,3.11518,364.9583,N,1,26.4,3,3,1,45,MARICOPA            AZ,1,01/1988
0.8,2.10811,426.79886,Y,0,41.3,1,4,1,22,JACKSON             MO,0,01/1988
26.2,2.49759,294.1031,Y,0,1.9,2,7,1,91,ALLEN               IN,2,12/1988
4.7,1.33728,110.44374,Y,0,6.5,6,7,1,47,STUTSMAN            ND,0,03/1988
1.7,1.65751,216.32573,Y,0,11.7,5,4,1,47,WILLIAMS            ND,2,02/1988
4.3,2.06733,475.38745,Y,0,5.7,4,4,1,106,BARTHOLOMEW         IN,0,03/1989
1.1,1.83228,218.51334,N,1,15.5,3,7,1,63,HOWARD              MO,2,02/1988
1.0,2.5116,625.01996,N,1,29.6,5,3,2,4,WORCESTER           MA,2,03/1988
1.3,2.1283,597.212,Y,0,26.9,6,7,1,56,ERIE                PA,3,11/1988
1.0,3.11518,364.80402,Unknown,9,19.6,3,0,0,3,MARICOPA            AZ,2,04/1988
4.4,1.82664,626.5646,Y,0,6.5,2,4,1,45,HAMPSHIRE           MA,2,03/1988
8.6,2.67869,514.22705,Y,0,4.7,8,4,1,131,LUZERNE             PA,2,03/1989
6.4,1.70553,204.49521,Y,0,6.7,4,4,1,2,CASS                ND,5,03/1988
3.1,3.3116,2364.7627,Y,0,9.1,1,4,1,73,LEHIGH              PA,0,12/1988
1.3,2.71407,150.24512,N,1,21.1,2,1,1,9,MOHAVE              AZ,0,05/1988
5.6,3.15469,322.1076,Y,0,5.1,7,4,1,112,MONROE              PA,2,02/1989
1.0,2.5116,649.2395,Y,0,20.0,5,7,1,22,WORCESTER           MA,2,03/1988
5.4,1.84293,949.15137,N,0,5.3,5,0,0,66,GREENE              MO,0,02/1988
3.3,2.43343,649.2395,Y,0,10.5,6,1,1,89,MIDDLESEX           MA,2,03/1988
1.8,1.99456,710.8264,Y,0,13.5,6,4,1,108,WARREN              PA,2,02/1989
1.8,0.869524,2.081602,Y,0,10.9,1,0,1,-1,KEWEENAW BAY        MI,0,03/1988
1.1,1.84973,893.34094,N,1,18.0,2,1,1,46,RANDOLPH            MO,2,01/1988
1.7,2.29213,486.6377,Y,0,17.5,3,7,1,50,MONTGOMERY          IN,2,02/1988
10.6,1.51247,102.850044,Y,0,6.6,2,4,1,36,MCLEAN              ND,2,02/1988
1.1,2.04444,1065.3071,Y,0,16.9,2,4,5,118,DAUPHIN             PA,8,03/1989
5.6,1.70553,182.27359,Y,0,6.8,4,4,1,26,CASS                ND,9,02/1988
1.9,1.88168,1020.33856,Y,0,13.0,5,7,1,98,KNOX                IN,9,02/1989
10.2,1.2011,1214.9227,Y,1,3.5,5,4,1,37,WATONWAN            MN,2,01/1988
4.1,1.70553,183.82793,N,1,7.0,4,7,1,52,CASS                ND,0,03/1988
0.4,0.603508,2.99619,N,1,0.0,2,3,1,-1,GRAND PORTAGE       MN,2,02/1988
4.6,0.66992,1071.318,Y,0,5.7,2,4,1,40,HUBBARD             MN,2,01/1988
4.1,1.54905,199.79611,Y,0,36.5,5,2,1,40,BURLEIGH            ND,2,02/1988
1.1,3.11518,364.9583,N,1,34.2,3,1,1,13,MARICOPA            AZ,0,07/1988
3.1,2.17261,183.07762,N,1,7.0,6,1,1,48,ST FRANCOIS         MO,2,01/1988
0.4,3.11518,364.9583,N,1,0.0,3,1,1,87,MARICOPA            AZ,2,06/1988
0.8,3.43326,363.43207,N,1,34.4,3,1,1,65,PIMA                AZ,0,04/1988
77.7,1.62023,110.44374,Y,0,1.0,4,2,1,36,GRAND FORKS         ND,4,02/1988
2.2,2.43343,641.183,Unknown,9,11.1,6,0,0,11,MIDDLESEX           MA,0,04/1988
8.6,1.14684,199.79611,Y,0,4.3,3,1,1,9,MCHENRY             ND,2,03/1988
2.9,2.37492,433.44394,Y,1,9.9,2,3,1,32,HUNTINGTON          IN,2,01/1988
1.6,1.80362,430.94482,N,1,18.6,2,3,1,69,KNOX                MO,9,02/1988
0.2,3.11518,363.43207,N,1,0.0,3,3,2,110,MARICOPA            AZ,2,06/1988
11.4,0.808928,485.43594,Y,0,3.8,2,4,1,22,ROSEAU              MN,1,01/1988
8.8,1.14643,3.66,Y,0,4.4,4,4,2,-1,STOCKBRIDGE-MUNSEE  WI,0,03/1988
1.0,1.42956,628.9107,Y,0,29.7,10,4,2,87,PLYMOUTH            MA,2,03/1988
0.9,2.49759,294.1031,Unknown,9,25.7,2,0,0,92,ALLEN               IN,2,01/1989
1.9,1.12399,481.44348,Y,0,13.4,1,2,1,29,ST JOSEPH           IN,2,12/1987
2.2,1.68632,893.34094,Y,0,13.4,4,2,1,56,ST LOUIS            MO,9,02/1988
1.9,1.26282,4.761628,Y,0,14.4,4,4,1,-1,WISCONSIN WINNEBAGO WI,0,03/1988
3.9,1.12399,486.6377,Y,0,5.9,1,4,1,102,ST JOSEPH           IN,2,02/1989
0.9,2.26369,478.26804,N,1,39.4,5,1,1,29,PIKE                IN,2,12/1987
1.8,1.31208,893.2374,Y,0,13.2,4,4,1,22,BLUE EARTH          MN,2,12/1987
11.2,1.16237,481.44348,Y,0,3.1,2,4,1,67,ELKHART             IN,2,03/1988
1.1,2.08592,1020.33856,N,1,22.7,3,7,1,71,MADISON             IN,2,03/1988
0.8,1.96648,183.07762,N,1,22.1,1,1,1,76,CASS                MO,2,02/1988
2.0,2.43343,649.2395,Unknown,9,10.0,6,0,0,59,MIDDLESEX           MA,2,03/1988
2.8,0.799068,5.439952,Y,0,10.4,4,4,1,-1,LAC COURTE OREILLES WI,7,03/1988
2.2,2.00698,695.08405,Y,0,12.5,7,4,2,83,ESSEX               MA,2,03/1988
5.1,1.70553,192.26389,Y,0,13.5,4,2,1,49,CASS                ND,2,03/1988
1.1,1.04286,6.800794,Y,0,33.2,4,4,1,-1,ONEIDA              WI,2,03/1988
1.6,2.67869,640.196,Y,1,14.1,8,3,1,77,LUZERNE             PA,1,12/1988
3.7,2.95083,2364.7627,Y,0,8.6,1,4,1,48,BUCKS               PA,0,11/1988
5.5,2.67972,1065.3071,Y,0,6.6,2,4,1,53,LANCASTER           PA,2,11/1988
1.1,1.67647,110.44374,Y,0,20.7,4,2,1,55,TRAILL              ND,0,03/1988
2.1,3.28,993.15466,Y,0,9.9,10,4,1,134,PHILADELPHIA        PA,2,03/1989
0.7,1.68913,597.85675,Y,1,25.2,9,1,1,53,BRISTOL             MA,2,03/1988
0.4,2.34707,359.16406,N,1,0.0,3,3,1,82,COCHISE             AZ,2,05/1988
2.6,1.64191,433.44394,Y,0,10.5,2,4,1,48,FULTON              IN,2,02/1988
49.2,2.05186,1065.3071,Y,0,1.3,2,7,2,58,CUMBERLAND          PA,2,11/1988
0.3,2.71407,120.341354,Unknown,9,0.0,2,0,0,5,MOHAVE              AZ,0,06/1988
0.1,1.42956,649.2395,N,0,0.0,10,4,1,22,PLYMOUTH            MA,2,03/1988
6.8,2.43343,626.5646,Y,0,4.4,6,4,1,3,MIDDLESEX           MA,2,03/1988
3.7,2.10811,430.94482,Y,0,8.1,1,4,1,67,JACKSON             MO,2,02/1988
0.9,1.97454,807.81647,N,1,26.4,5,3,1,87,MARTIN              IN,0,01/1989
1.8,2.43343,628.9107,Y,0,13.1,6,7,1,93,MIDDLESEX           MA,0,04/1988
1.8,2.56866,1065.3071,Y,0,17.8,9,0,1,28,ALLEGHENY           PA,0,03/1988
0.8,2.74915,322.1076,Y,0,42.1,7,4,1,87,SUSQUEHANNA         PA,2,02/1989
0.9,1.79311,426.79886,N,1,34.1,5,1,1,74,JASPER              MO,2,02/1988
12.9,1.77863,57.41818,Y,0,3.4,1,4,1,39,MORTON              ND,1,02/1988
1.7,1.83228,218.51334,Y,0,11.9,3,2,1,92,HOWARD              MO,2,03/1988
5.2,1.62023,108.80514,N,1,5.9,4,3,2,35,GRAND FORKS         ND,0,03/1988
2.8,0.910987,893.2374,Y,0,8.9,2,4,1,47,MORRISON            MN,0,02/1988
0.9,0.622088,461.62366,Y,1,35.3,1,3,1,3,ST LOUIS            MN,7,03/1988
0.8,2.24875,807.81647,N,1,38.7,3,3,1,75,HENDRICKS           IN,0,04/1988
5.5,2.06733,475.38745,Y,0,8.1,4,7,1,75,BARTHOLOMEW         IN,2,04/1988
4.2,1.8345,893.34094,Y,0,10.4,2,5,2,60,LINN                MO,2,02/1988
7.4,2.61454,993.15466,Y,0,4.3,5,4,1,125,INDIANA             PA,2,03/1989
3.1,2.13528,893.34094,Y,0,11.1,6,7,1,86,STODDARD            MO,2,02/1988
0.7,2.49759,329.47784,Y,0,26.3,2,4,1,99,ALLEN               IN,9,02/1989
0.7,0.622088,433.3167,Y,1,24.2,1,3,1,46,ST LOUIS            MN,3,01/1988
0.6,0.869524,2.081602,Y,0,32.8,1,4,1,-1,KEWEENAW BAY        MI,7,03/1988
7.4,2.00134,1122.8802,N,1,5.8,5,3,1,129,FAYETTE             PA,7,04/1989
0.5,1.72085,430.94482,Y,0,53.2,4,0,1,8,FRANKLIN            MO,1,03/1988
7.5,2.10811,447.6274,Y,0,3.6,1,4,1,7,JACKSON             MO,0,03/1988
2.8,2.10811,426.79886,N,1,9.5,1,1,1,81,JACKSON             MO,2,02/1988
52.4,2.00698,538.5639,Y,0,1.7,7,4,1,59,ESSEX               MA,2,03/1988
1.3,0.421763,8.313953,N,1,23.3,1,3,1,-1,SAULT ST. MARIE     MI,8,03/1988
2.6,1.68913,641.183,Y,0,9.1,9,4,1,2,BRISTOL             MA,2,03/1988
2.1,2.56866,1074.0137,Y,1,15.2,9,3,1,44,ALLEGHENY           PA,0,11/1988
6.4,1.70553,182.27359,Y,0,6.8,4,2,1,23,CASS                ND,9,02/1988
4.1,1.58091,481.44348,N,1,5.9,2,3,1,99,KOSCIUSKO           IN,2,02/1989
4.7,1.77261,426.79886,Y,1,7.0,5,1,1,7,POLK                MO,2,03/1988
1.2,2.49759,303.79205,Unknown,1,16.9,2,0,0,51,ALLEN               IN,9,03/1988
54.7,2.61898,351.82404,Y,0,1.1,4,4,1,102,BUTLER              PA,9,02/1989
3.0,1.12399,478.26804,Y,0,9.1,1,2,1,26,ST JOSEPH           IN,0,01/1988
3.3,1.98276,447.6274,Y,1,8.0,1,7,1,54,BUCHANAN            MO,0,02/1988
23.8,1.01386,348.04294,Y,0,2.2,2,4,1,47,MARSHALL            MN,2,01/1988
0.4,3.11518,378.24384,N,1,0.0,3,3,1,82,MARICOPA            AZ,2,05/1988
4.8,2.00698,538.5639,Y,0,6.1,7,7,1,68,ESSEX               MA,2,03/1988
1.2,3.39032,364.9583,Unknown,9,22.9,3,0,0,34,YUMA                AZ,2,12/1987
3.6,2.82376,589.0869,Y,0,7.5,5,4,1,135,                    PA,1,03/1989
2.4,2.56866,1065.3071,Y,0,10.8,9,4,1,119,ALLEGHENY           PA,2,03/1989
1.2,2.63999,538.50464,Unknown,0,21.3,8,0,0,98,LACKAWANNA          PA,0,03/1989
1.2,1.90687,292.21954,Y,0,25.8,4,2,1,22,JEFFERSON           IN,2,12/1987
0.5,1.68802,447.6274,Y,0,37.4,5,4,1,81,HICKORY             MO,2,02/1988
4.1,1.84225,447.6274,Unknown,1,6.7,2,0,0,2,CLARK               MO,8,03/1988
1.0,2.37618,993.15466,Y,0,22.5,5,2,1,61,WESTMORELAND        PA,3,11/1988
22.8,2.39804,341.6855,Y,0,2.7,7,4,1,117,WAYNE               PA,0,03/1989
8.6,1.62023,110.44374,Y,0,4.0,4,4,1,32,GRAND FORKS         ND,2,02/1988
2.1,0.88449,6.800794,Y,0,10.1,4,4,1,-1,ONEIDA              WI,1,03/1988
0.3,1.99276,52.79145,N,1,0.0,1,3,1,84,BOWMAN              ND,7,03/1988
3.6,1.54905,218.33786,Y,0,8.4,5,1,1,78,BURLEIGH            ND,0,03/1988
3.1,1.36463,108.80514,Y,0,8.9,4,4,1,70,RICHLAND            ND,0,03/1988
1.0,1.74171,426.79886,Y,0,19.7,3,2,1,68,PHELPS              MO,10,02/1988
1.2,2.43343,597.85675,Y,1,30.4,6,3,1,30,MIDDLESEX           MA,2,03/1988
15.2,1.38757,57.41818,Y,0,2.9,6,7,1,38,WALSH               ND,7,03/1988
3.9,0.869524,2.081602,Y,0,6.6,1,4,1,-1,KEWEENAW BAY        MI,7,03/1988
2.8,2.58834,303.79205,Y,0,8.2,2,4,1,11,ADAMS               IN,0,01/1989
4.6,2.43343,597.85675,Y,1,8.0,6,1,5,62,MIDDLESEX           MA,2,03/1988
2.9,0.622088,4.746411,Y,0,8.0,2,4,1,-1,BOIS FORTE          MN,5,03/1988
2.1,2.56866,1074.0137,Y,0,13.0,9,7,1,128,ALLEGHENY           PA,8,03/1989
1.2,1.9036,426.79886,N,1,17.1,2,1,1,47,CHARITON            MO,0,02/1988
2.2,1.96705,649.2395,Y,0,9.8,4,4,1,38,HAMPDEN             MA,2,03/1988
3.0,3.43326,378.24384,Y,1,6.8,3,2,1,69,PIMA                AZ,2,03/1988
0.2,2.04101,559.8317,Y,0,0.0,8,4,1,37,NORFOLK             MA,2,03/1988
4.6,3.11518,359.16406,N,1,5.4,3,1,1,22,MARICOPA            AZ,1,11/1987
0.7,2.37216,315.78497,Y,0,48.5,4,7,1,39,LAWRENCE            PA,2,03/1988
4.0,1.98755,475.38745,N,1,6.8,5,2,1,89,VIGO                IN,2,12/1988
4.5,2.04101,559.8317,Y,0,11.6,8,2,1,93,NORFOLK             MA,2,03/1988
8.5,1.3624,55.90113,Y,0,5.6,1,4,1,30,PEMBINA             ND,8,02/1988
1.3,3.11518,364.9583,Unknown,9,19.2,3,0,0,34,MARICOPA            AZ,8,12/1987
0.3,0.896613,4.761628,N,1,0.0,4,1,1,-1,WISCONSIN WINNEBAGO WI,2,02/1988
2.8,2.55323,341.6855,Y,0,20.3,4,0,1,80,BEAVER              PA,2,12/1988
5.1,1.71129,48.82277,N,0,5.9,1,4,1,81,OLIVER              ND,0,03/1988
1.5,2.99849,364.9583,Unknown,9,28.1,3,0,0,43,PINAL               AZ,2,02/1988
0.9,3.11518,359.16406,N,1,37.2,3,3,1,80,MARICOPA            AZ,2,04/1988
9.8,1.63217,447.6274,Y,0,4.4,4,7,1,37,JEFFERSON           MO,2,01/1988
0.8,0.319494,8.313953,Y,0,34.6,1,4,1,-1,SAULT ST. MARIE     MI,2,03/1988
0.5,3.3116,2059.0518,N,1,0.0,1,1,1,34,LEHIGH              PA,2,03/1988
2.4,1.70553,183.82793,Y,0,35.9,4,2,1,24,CASS                ND,2,02/1988
0.5,1.96705,596.0751,Y,0,41.9,4,4,1,57,HAMPDEN             MA,5,03/1988
0.7,2.49759,294.1031,N,1,40.0,2,2,1,25,ALLEN               IN,2,01/1988
3.4,2.61454,1074.0137,Y,0,7.8,5,4,1,72,INDIANA             PA,2,12/1988
0.9,1.96705,596.0751,Y,0,20.6,4,2,2,24,HAMPDEN             MA,2,03/1988
6.8,2.37618,1122.8802,Y,0,4.6,5,4,1,49,WESTMORELAND        PA,2,11/1988
3.8,2.05611,807.81647,N,1,8.5,5,1,1,21,POSEY               IN,8,12/1987
0.6,2.24475,710.8264,Y,0,107.8,6,4,1,68,MERCER              PA,7,12/1988
9.7,1.98205,1074.0137,Y,0,4.0,3,2,1,23,CENTRE              PA,0,03/1988
6.4,2.24475,675.416,Y,0,25.5,6,4,1,109,MERCER              PA,2,02/1989
0.6,2.10811,438.80835,Y,0,36.3,1,2,1,35,JACKSON             MO,10,01/1988
0.7,1.80803,949.15137,Y,0,19.7,3,2,1,9,WARREN              MO,1,03/1988
1.2,3.11518,359.16406,N,1,27.3,3,2,1,66,MARICOPA            AZ,2,03/1988
